hospital_name,city,state_code,rural_versus_urban,net_income,net_patient_revenue,total_costs,total_discharges,medicare_discharges,cost_to_charge_ratio,cost_of_charity_care,medicare_dependency_pct,charge_markup_ratio
"MARSHFIELD MEDICAL CENTER-LADYSMITH",LADYSMITH,WI,R,-2183608.00,33433796.00,33239059.00,179,79,0.5311,170526.00,44.13,1.88
"RIVER FALLS AREA HOSPITAL","RIVER FALLS",WI,U,3936232.00,43361007.00,34847970.00,475,227,0.4587,343150.00,47.79,2.18
"BANNER GOLDFIELD MEDICAL CENTER","APACHE JUNCTION",AZ,U,-2139876.00,22482535.00,18764617.00,767,181,0.1437,653785.00,23.60,6.96
"ENCOMPASS HEALTH REHABILITATION HOSP",JONESBORO,AR,U,11627252.00,37424328.00,25274344.00,1960,1143,NULL,NULL,58.32,2.51
"SEQUOIA HOSPITAL","REDWOOD CITY",CA,U,16375170.00,321826164.00,286270238.00,5711,1741,0.1881,4996771.00,30.49,5.32
"LONGMONT UNITED HOSPITAL",LONGMONT,CO,U,-24605102.00,87702144.00,95547039.00,2345,552,0.1870,5710629.00,23.54,5.35
"PAGOSA SPRINGS MEDICAL CENTER","PAGOSA SPRINGS",CO,R,1266127.00,41042750.00,36677072.00,244,116,0.5073,127231.00,47.54,1.97
"DENVER REGIONAL REHABILITATION HOSPI",THORTON,CO,U,1011509.00,13390378.00,14466636.00,637,192,NULL,NULL,30.14,2.29
"JOHNSTOWN HEIGHTS BEHAVIORAL HEALTH",JOHNSTOWN,CO,U,-6671195.00,11032453.00,18546806.00,1751,135,NULL,NULL,7.71,1.87
"MANATEE MEMORIAL HOSPITAL",BRADENTON,FL,U,6792760.00,383945165.00,339567640.00,19967,4098,0.0767,20663050.00,20.52,13.03
"ENCOMPASS HEALTH REHABILITATION HOSP","ST. AUGUSTINE",FL,U,-393847.00,17366608.00,17175678.00,869,705,NULL,NULL,81.13,1.65
"CENTRAL FLORIDA BEHAVIORAL HEALTH",ORLANDO,FL,U,6572267.00,49470092.00,36938262.00,8718,287,NULL,NULL,3.29,3.02
"MEMORIAL HOSPITAL ASSOCIATION",CARTHAGE,IL,R,2620277.00,46823738.00,39561423.00,442,302,0.3968,884526.00,68.33,2.52
"SANFORD MEDICAL CENTER WHEATON",WHEATON,MN,R,1233656.00,10572358.00,10499852.00,61,41,0.6982,349734.00,67.21,1.43
"VALLEY HOSPITAL MEDICAL CENTER","LAS VEGAS",NV,U,13273479.00,339340492.00,300172074.00,16298,2597,0.0615,8910848.00,15.93,16.25
